iteration,mean_wait,max_wait,min_wait,rate,type
11,11.494081660433084,47.800519666712944,3.5548498262984936,1.9516666666666667,candidate
12,25.74144522405398,115.59009270982278,3.51979644799394,2.1666666666666665,candidate
13,42.88199188163292,207.52366604226972,3.5050166609230473,2.37,candidate
13,48.10430909746098,252.7880610098673,3.5144396616929043,2.36,candidate
13,44.48456457250838,213.45544170297853,3.5475462298427374,2.3175,candidate
14,10.73632248491672,37.30885735341758,3.516507992009565,1.8158333333333334,candidate
15,35.77402282382439,173.62467998414377,3.530548621716207,2.2475,candidate
15,36.05994017702085,199.40532869404115,3.5418301474687723,2.2441666666666666,candidate
16,16.740551420505007,85.9043996063092,3.51163448099328,2.0933333333333333,candidate
17,15.890769099388903,64.28223167870874,3.5414595212992026,2.0525,candidate
18,22.665906874099548,84.67655571997693,3.5139495990100045,2.1325,candidate
19,10.621218135871546,34.05911783809779,3.5225147814795363,1.8875,candidate
20,10.61693529056856,30.832415492385735,3.5124042211000415,1.9116666666666666,candidate
21,10.64237773418526,32.079211139261815,3.530222967109239,1.8733333333333333,candidate
22,12.97509869564874,45.34032076612016,3.537521430039874,1.9266666666666667,candidate
23,24.78725894611613,104.61917593804219,3.553585470800499,2.095833333333333,candidate
23,18.339568829714246,101.48220261739561,3.539647049258406,2.1275,candidate
24,72.93218279150335,317.93703899765023,3.5108216559888206,2.5083333333333333,candidate
24,63.101224795074735,323.589105705405,3.544227685729311,2.5175,candidate
24,81.95862142283805,357.77919786133543,3.5289022941583426,2.591666666666667,candidate
24,67.6483523806609,321.95720785013145,3.5278580504182173,2.5366666666666666,candidate
24,73.84287852160222,337.5915745763532,3.5274399394628517,2.5483333333333333,candidate
24,67.18947451483949,313.89079256549803,3.515295489054097,2.486666666666667,candidate
24,72.16524707963892,322.10537734336776,3.519687334808168,2.5633333333333335,candidate
24,68.81519645766903,337.76875854167156,3.5312987647780574,2.4833333333333334,candidate
24,87.96891444745947,389.4450521481235,3.5256888857898048,2.6275,candidate
24,70.01547802731977,306.26533968195054,3.528170916099043,2.4725,candidate
25,85.50390633647548,415.86319442253443,3.6047463183381865,2.6241666666666665,candidate
25,90.89529349607731,402.4703568580753,3.5412046892211038,2.655,candidate
25,94.42800963736735,421.35496132219623,3.5545609647185756,2.6466666666666665,candidate
25,98.40443525196157,382.1683167594101,3.5472846482216482,2.6725,candidate
25,84.06163222408165,392.04694270448226,3.542319284572841,2.5908333333333333,candidate
25,89.99417969057292,394.9174733064724,3.5385207628313537,2.5725,candidate
25,86.12878601766641,369.6050314855829,3.6121413472951645,2.6033333333333335,candidate
25,78.83318787333327,375.25805268084196,3.589079205310327,2.631666666666667,candidate
25,83.0317268037663,381.2094889226937,3.5906987841412956,2.5625,candidate
26,38.97451658385898,180.97037565973687,3.5286563291971333,2.2225,candidate
26,43.71825278256313,206.60836716669064,3.522441483574795,2.276666666666667,candidate
26,27.085588471143527,149.6655259691138,3.513295803596975,2.205,candidate
26,33.327538010177804,175.4785273804714,3.5356002622643814,2.2625,candidate
27,10.389269080209784,33.651035745067475,3.5462619258790937,1.8825,candidate
28,73.74880062845702,351.5208845794755,3.5403244791714314,2.5341666666666667,candidate
28,71.17720679171738,334.1422387635339,3.555560989159403,2.5825,candidate
28,73.83445043636311,362.81339904213064,3.5076032978681724,2.513333333333333,candidate
28,68.53275947737352,353.1275986396972,3.5092855641033793,2.555833333333333,candidate
28,74.11214830502112,347.94002864345885,3.5269376249474647,2.5116666666666667,candidate
28,72.43561269172224,340.07206269595235,3.5247795800833046,2.53,candidate
29,11.43945443095227,37.38763741559751,3.523699071010924,1.8983333333333334,candidate
